iter	Passed	Remaining
0	24	24573
1	47	23506
2	70	23380
3	93	23233
4	115	22958
5	138	23002
6	163	23142
7	190	23647
8	214	23668
9	239	23700
10	262	23601
11	285	23477
12	307	23357
13	331	23360
14	357	23465
15	381	23434
16	403	23356
17	424	23146
18	447	23117
19	470	23067
20	493	23002
21	517	23011
22	539	22927
23	562	22871
24	584	22809
25	611	22892
26	635	22886
27	657	22836
28	676	22653
29	700	22641
30	720	22521
31	741	22425
32	764	22415
33	789	22419
34	811	22380
35	838	22439
36	861	22416
37	884	22403
38	909	22402
39	931	22357
40	955	22339
41	980	22364
42	1002	22317
43	1024	22257
44	1047	22235
45	1070	22198
46	1094	22189
47	1116	22149
48	1139	22114
49	1164	22131
50	1186	22078
51	1209	22047
52	1232	22017
53	1256	22013
54	1278	21975
55	1301	21947
56	1324	21904
57	1349	21912
58	1373	21901
59	1395	21859
60	1419	21848
61	1441	21811
62	1464	21783
63	1487	21754
64	1509	21718
65	1533	21706
66	1557	21686
67	1580	21663
68	1602	21622
69	1626	21614
70	1652	21624
71	1674	21585
72	1698	21571
73	1721	21542
74	1745	21533
75	1768	21506
76	1791	21480
77	1815	21457
78	1838	21438
79	1861	21407
80	1884	21377
81	1909	21371
82	1933	21366
83	1957	21345
84	1980	21317
85	2006	21323
86	2031	21324
87	2055	21297
88	2078	21279
89	2104	21282
90	2136	21346
91	2160	21325
92	2181	21275
93	2205	21255
94	2227	21215
95	2250	21190
96	2272	21159
97	2296	21139
98	2320	21115
99	2341	21071
100	2364	21049
101	2388	21025
102	2412	21009
103	2435	20985
104	2457	20948
105	2482	20933
106	2504	20902
107	2528	20883
108	2549	20844
109	2572	20814
110	2596	20795
111	2618	20758
112	2641	20734
113	2665	20719
114	2688	20687
115	2711	20666
116	2735	20644
117	2760	20636
118	2783	20605
119	2804	20569
120	2825	20522
121	2854	20542
122	2877	20514
123	2894	20447
124	2914	20400
125	2936	20371
126	2956	20326
127	2979	20295
128	3001	20264
129	3026	20253
130	3049	20226
131	3071	20198
132	3094	20171
133	3121	20172
134	3145	20152
135	3167	20121
136	3188	20086
137	3214	20080
138	3242	20083
139	3265	20057
140	3287	20031
141	3317	20046
142	3340	20018
143	3360	19975
144	3374	19895
145	3388	19818
146	3404	19752
147	3418	19677
148	3443	19665
149	3465	19635
150	3487	19611
151	3512	19597
152	3533	19562
153	3555	19530
154	3577	19502
155	3597	19464
156	3620	19438
157	3644	19423
158	3673	19432
159	3697	19411
160	3721	19391
161	3744	19368
162	3769	19355
163	3791	19325
164	3814	19305
165	3838	19284
166	3865	19279
167	3889	19260
168	3911	19233
169	3934	19209
170	3957	19187
171	3980	19162
172	4005	19148
173	4027	19117
174	4052	19104
175	4075	19082
176	4099	19060
177	4120	19030
178	4145	19014
179	4167	18986
180	4189	18956
181	4210	18923
182	4235	18907
183	4261	18896
184	4284	18872
185	4305	18843
186	4321	18788
187	4340	18745
188	4364	18729
189	4390	18716
190	4413	18693
191	4436	18669
192	4459	18647
193	4485	18634
194	4507	18609
195	4533	18594
196	4559	18583
197	4582	18561
198	4604	18533
199	4627	18511
200	4650	18485
201	4674	18465
202	4699	18452
203	4723	18431
204	4745	18403
205	4769	18383
206	4791	18356
207	4813	18326
208	4833	18294
209	4856	18270
210	4879	18245
211	4903	18225
212	4924	18194
213	4941	18148
214	4962	18120
215	4985	18094
216	5009	18077
217	5032	18051
218	5056	18031
219	5079	18009
220	5103	17988
221	5123	17956
222	5145	17929
223	5165	17894
224	5182	17851
225	5204	17824
226	5227	17801
227	5251	17782
228	5276	17765
229	5299	17743
230	5322	17720
231	5343	17687
232	5360	17646
233	5384	17626
234	5406	17600
235	5432	17588
236	5455	17565
237	5479	17543
238	5505	17528
239	5529	17509
240	5552	17486
241	5577	17470
242	5600	17447
243	5623	17422
244	5647	17404
245	5671	17384
246	5693	17357
247	5717	17338
248	5743	17323
249	5768	17304
250	5789	17277
251	5810	17248
252	5826	17202
253	5845	17168
254	5868	17144
255	5895	17133
256	5918	17112
257	5940	17084
258	5964	17063
259	5987	17041
260	6010	17017
261	6033	16995
262	6060	16982
263	6083	16960
264	6108	16941
265	6134	16927
266	6158	16907
267	6181	16882
268	6202	16855
269	6225	16831
270	6246	16804
271	6272	16787
272	6295	16764
273	6317	16740
274	6340	16715
275	6362	16688
276	6384	16664
277	6406	16638
278	6422	16595
279	6438	16556
280	6459	16526
281	6482	16506
282	6505	16481
283	6528	16458
284	6553	16442
285	6577	16420
286	6600	16398
287	6623	16375
288	6648	16357
289	6671	16333
290	6692	16306
291	6717	16287
292	6737	16257
293	6760	16233
294	6784	16213
295	6805	16186
296	6824	16152
297	6839	16112
298	6854	16070
299	6878	16050
300	6903	16030
301	6932	16021
302	6956	16001
303	6980	15981
304	7000	15951
305	7023	15929
306	7045	15903
307	7068	15880
308	7092	15859
309	7113	15833
310	7136	15809
311	7160	15788
312	7183	15766
313	7208	15748
314	7231	15725
315	7254	15702
316	7278	15681
317	7302	15660
318	7325	15638
319	7348	15615
320	7371	15592
321	7396	15573
322	7418	15549
